"Unidade Gestora / Conta Corrente";"Conta 721110101 (A)";"Contas 82114 (B)";"Contas 82115 (C)";"Diferença = (A) - (B) - (C) "
"   1.5.00.100.2.240139";0;9239566,35;0;-9239566,35
"   1.5.00.100.2.240141";0;8996891,05;0;-8996891,05
"   1.5.00.100.2.240156";0;1200000;0;-1200000
"   1.5.00.100.2.240163";0;3999911,2;0;-3999911,2
"   1.5.00.100.2.240169";0;13542628,39;0;-13542628,39
"   1.5.00.100.2.240187";0;6000000;0;-6000000
"   1.5.00.100.2.240198";0;0;0;0
"   1.5.00.100.2.240200";0;0;0;0
"   1.5.00.100.2.240201";0;0;0;0
"   1.5.00.100.2.240208";0;0;0;0
"   1.5.00.100.2.240210";0;0;0;0
"   1.5.00.100.2.250009";0;213000;0;-213000
"   1.5.00.100.2.250013";0;2000000;0;-2000000
"   1.5.00.100.2.250014";975000;0;975000;0
"   1.5.00.100.2.250021";856514,93;14994719,88;856514,93;-14994719,88
"   1.5.00.100.2.250022";0;100000;0;-100000
"   1.5.00.100.2.250071";0;14999933,84;0;-14999933,84
"   1.5.00.100.2.250072";0;0;0;0
"   1.5.00.100.2.250080";0;185567,78;0;-185567,78
"   1.5.00.100.3.121178";761542,95;0;0;761542,95
"   1.5.00.100.3.211018";4530;102875,02;230840,61;-329185,63
"   1.5.00.100.3.211032";98998,78;0;4075,42;94923,36
"   1.5.00.107.0.000000";15004804473,9;10308143173,63;4721778836,19;-25117535,92
"   1.5.00.107.1.007526";1133323109,15;0;0;1133323109,15
"   1.5.00.148.0.000000";354106918,56;240292335,49;96039,26;113718543,81
"   1.5.00.148.1.000003";0;14709,92;0;-14709,92
"   1.5.00.148.1.000004";0;1903015;0;-1903015
"   1.5.00.148.1.000006";0;272,64;0;-272,64
"   1.5.00.148.1.000007";0;161904,96;0;-161904,96
"   1.5.00.148.1.000011";0;149750;0;-149750
"   1.5.00.148.1.000013";0;100000;0;-100000
"   1.5.00.148.1.000014";0;33000;0;-33000
"   1.5.00.148.1.000015";0;61727,2;0;-61727,2
"   1.5.00.148.1.000016";0;0;0;0
"   1.5.00.148.1.000019";0;14200;0;-14200
"   1.5.00.148.1.000021";0;80695,21;0;-80695,21
"   1.5.00.148.1.000022";0;60188,66;0;-60188,66
"   1.5.00.148.1.000024";0;37447,88;0;-37447,88
"   1.5.00.148.2.230069";0;7344846;0;-7344846
"   1.5.00.148.2.230099";0;1995224;0;-1995224
"   1.5.00.148.2.240013";0;1566019;0;-1566019
"   1.5.00.148.2.240140";0;1087437;0;-1087437
"   1.5.00.148.2.240149";0;200000;0;-200000
"   1.5.00.148.2.240157";0;1087437;0;-1087437
"   1.5.00.148.2.240158";0;243000;0;-243000
"   1.5.00.148.2.240159";0;227437;0;-227437
"   1.5.00.148.2.240187";0;50000;0;-50000
"   1.5.00.148.2.250001";0;1087436,5;0;-1087436,5
"   1.5.00.148.2.250023";0;100000;0;-100000
"   1.5.00.148.2.250052";0;463000;0;-463000
"   1.5.00.148.2.250062";0;209508;0;-209508
"   1.5.00.148.2.250075";0;120000;0;-120000
"   1.5.00.223.0.000000";6872,43;0;6872,43;0
"   1.5.00.230.0.000000";3692,41;0;3692,41;0
"   1.5.01.100.0.000000";41685,98;0;0;41685,98
"   1.5.01.101.0.000000";11326586064,39;5621012832,81;5010843277,33;694729954,25
"   1.5.01.101.1.000001";1358,46;0;0;1358,46
"   1.5.01.101.1.000002";26033,11;0;0;26033,11
"   1.5.01.101.1.000008";945972387,59;253596085,24;0;692376302,35
"   1.5.01.101.1.000015";217023474,53;0;0;217023474,53
"   1.5.01.101.1.000035";25215895,63;20351718,33;0;4864177,3
"   1.5.01.101.1.007526";0;56230698,49;0;-56230698,49
"   1.5.01.101.1.220015";32835,51;917909;32835,51;-917909
"   1.5.01.101.1.370300";18684338,74;0;0;18684338,74
"   1.5.01.101.1.510282";512822967,15;0;250000000;262822967,15
"   1.5.01.101.2.005049";13135,29;0;13135,29;0
"   1.5.01.101.2.007039";0;0;203260,92;-203260,92
"   1.5.01.101.2.007099";0;0;94500;-94500
"   1.5.01.101.2.007102";0;0;32575,5;-32575,5
"   1.5.01.101.2.007106";0;0;173600;-173600
"   1.5.01.101.2.007134";0;0;36391,18;-36391,18
"   1.5.01.101.2.007139";0;0;36000;-36000
"   1.5.01.101.2.007144";0;0;30841,6;-30841,6
"   1.5.01.101.2.007152";0;0;42090,05;-42090,05
"   1.5.01.101.2.007155";0;0;53998,96;-53998,96
"   1.5.01.101.2.007168";0;0;34491,23;-34491,23
"   1.5.01.101.2.007193";0;0;147771,98;-147771,98
"   1.5.01.101.2.007210";0;0;99000;-99000
"   1.5.01.101.2.007224";0;0;32517,72;-32517,72
"   1.5.01.101.2.007269";0;0;52378,47;-52378,47
"   1.5.01.101.2.007273";0;0;273730,28;-273730,28
"   1.5.01.101.2.007289";25984;606103868;25984;-606103868
"   1.5.01.101.2.007348";31088,33;0;0;31088,33
"   1.5.01.101.2.007425";0;0;59001;-59001
"   1.5.01.101.2.007466";12635,61;0;0;12635,61
"   1.5.01.101.2.007596";0;0;85600;-85600
"   1.5.01.101.2.007622";0;0;22314,34;-22314,34
"   1.5.01.101.2.007760";0;0;336202,12;-336202,12
"   1.5.01.101.2.160171";3714,33;0;0;3714,33
"   1.5.01.101.2.170068";2145,44;0;0;2145,44
"   1.5.01.101.2.200005";427,32;0;0;427,32
"   1.5.01.101.2.200034";268520,14;0;0;268520,14
"   1.5.01.101.2.220001";19095,24;0;0;19095,24
"   1.5.01.101.2.230103";0;2109437,76;0;-2109437,76
"   1.5.01.101.2.230104";0;2109437,76;0;-2109437,76
"   1.5.01.101.2.230105";0;912681,75;0;-912681,75
"   1.5.01.101.2.230106";0;905698,21;0;-905698,21
"   1.5.01.101.2.230107";0;580778,7;0;-580778,7
"   1.5.01.101.3.211018";8,31;5450,81;920806,2;-926248,7
"   1.5.01.106.0.000000";113984016,56;0;0;113984016,56
